코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,과거 PCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(20일대비),높은순서  (비중 30)
A000880,한화,지주사,지주사,100,1,0.69,2,0.05,1,0.5,31,1.97,9,1.12,1,144.05,28
A000140,하이트진로홀딩스,지주사,지주사,96.58,2,1.11,7,0.18,24,0.82,103,5.67,53,1.93,5,94.96,42
A082640,동양생명,금융,생명보험,96.46,3,1.52,13,0.16,20,0.29,7,2.17,14,4.23,32,69.01,61
A053210,스카이라이프,미디어 및 엔터,미디어,95.97,4,2.92,45,0.67,152,0.62,56,7.01,81,6.56,79,322.71,12
A057050,현대홈쇼핑,유통,홈쇼핑,95.37,5,4.85,100,0.48,113,0.61,52,5.8,56,6.72,85,190.44,20
A088350,한화생명,금융,생명보험,95.34,6,2.27,30,0.18,24,0.26,3,2.75,16,4.81,41,56.13,69
A136490,선진,식음료,사료,94.88,7,3.86,71,0.32,61,1.18,188,4.2,29,4.07,30,142.41,30
A072710,농심홀딩스,지주사,지주사,94.51,8,12.17,270,0.7,167,0.42,17,5.83,57,5.5,55,561.77,3
A012450,한화에어로스페이스,기계,방위산업,93.14,9,5.04,105,0.4,87,0.82,103,6.16,62,7.14,92,101.72,38
A000370,한화손해보험,금융,손해보험,91.09,10,0.37,1,0.09,5,0.34,12,-8.84,459,8.1,117,108.99,37
A025000,KPX케미칼,화학,기타 화학,89.97,11,3.33,54,0.48,113,0.68,73,4.28,32,5.54,56,29.39,94
A005830,DB손해보험,금융,손해보험,89.38,12,2.94,46,0.24,37,0.57,44,15.19,209,5.01,44,38.09,92
A003690,코리안리,금융,재보험,89.37,13,2.31,31,0.14,16,0.49,28,24.93,286,6.21,74,44.53,83
A123890,한국자산신탁,일반서비스,부동산,89.25,14,1.08,6,2.57,382,0.8,98,4.66,39,3.45,20,60.41,66
A005440,현대그린푸드,식음료,식료품,88.9,15,6.59,143,0.34,67,0.61,52,9.32,124,15.84,267,82.53,52
A034120,SBS,지주사,지주사,88.88,16,9.63,220,0.74,174,1.25,201,11.76,166,9.27,139,327.19,11
A095660,네오위즈,미디어 및 엔터,게임,88.85,17,7.27,157,1.88,341,1.36,218,6.8,78,9.24,138,416.47,6
A025540,한국단자,자동차 및 관련부품,전장부품,88.78,18,8.05,185,1.08,230,1.14,175,12.36,178,11.02,175,442.99,5
A030200,KT,통신,통신서비스,87.27,19,1.71,20,0.34,67,0.57,44,6.69,74,6.5,78,7.3,132
A000400,롯데손해보험,금융,손해보험,87.2,20,9.94,227,0.28,45,0.64,62,2.56,15,-11.01,533,129.87,33
A005850,에스엘,자동차 및 관련부품,기타 자동차부품,87.17,21,7.98,184,0.52,121,0.92,124,8.64,112,13.94,235,84.47,51
A161000,애경유화,화학,기타 화학,86.98,22,7.36,166,0.47,109,1.08,164,12.83,183,7.44,101,68.69,62
A001680,대상,식음료,식료품,86.73,23,8.54,199,0.33,65,0.95,133,-2585.5,459,5.93,64,131.43,32
A097950,CJ제일제당,식음료,식료품,86.45,24,3.41,58,0.28,45,1.26,202,10.33,141,4.65,37,18.28,108
A002270,롯데푸드,식음료,식료품,86.26,25,3.73,69,0.28,45,0.64,62,-35.16,459,10.73,173,73.49,56
A045100,한양이엔지,반도체 관련장비 및 부품,클린룸,86.23,26,4.75,98,0.47,109,0.96,135,-130.81,459,6.64,81,91.59,44
A056190,에스에프에이,디스플레이 장비 및 부품,디스플레이 장비,85.98,27,4.49,88,0.97,215,1.45,230,11.03,157,8.99,131,73.19,57
A003800,에이스침대,가정용품,가구,85.96,28,8.5,198,1.69,325,0.97,138,6.67,72,9.93,155,87.13,46
